G5100590,2018-2022,VA,,,Virginia,51,Fairfax County,059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51059,,,51059,"Fairfax County, Virginia",1145354,1145354,782543,1134981,573140,35426,38585,38256,24159,14637,5704,6986,22607,37567,39198,41692,41596,40271,39599,37366,15347,19678,11302,14476,20592,14443,7553,6100,572214,33718,34173,38209,22412,13780,5904,5516,22739,35139,37288,43401,39453,40487,39715,38577,14311,19624,11579,16222,22772,15521,10583,11091,1145354,1145354,782543,1134981,956072,556076,110543,1286,230697,584,7449,49437,6316,43121,189282,64445,2514,3161,963,107,62507,55585,46852,8733,1145354,1145354,782543,1134981,12986,83,159,451,790,1290,887,1514,5146,1678,2695,4880,2896,4124,11256,85218,9941,27492,63977,43431,248678,185979,39763,27229,1145354,1145354,782543,1134981,33436,34465,22341,22167,33953,13946,974673,51059
G5100610,2018-2022,VA,,,Virginia,51,Fauquier County,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51061,,,51061,"Fauquier County, Virginia",73290,73290,50357,72837,36589,2036,2706,2278,1660,979,492,452,1148,1832,2012,3136,1781,2198,2587,3039,963,1650,872,1276,1349,1080,692,371,36701,2067,1894,2751,1554,999,173,451,1293,1727,2105,2235,2317,2402,2659,3108,718,1626,1103,1104,1510,1234,853,818,73290,73290,50357,72837,66066,56848,4815,98,1294,21,286,2704,387,2317,7224,3984,29,73,24,0,841,2273,1913,360,73290,73290,50357,72837,383,0,0,0,7,111,83,2,194,146,541,467,534,797,644,10826,1430,3890,6997,3451,12142,5486,1224,1002,73290,73290,50357,72837,1679,2562,1278,1593,2189,1067,62469,51061
G5100630,2018-2022,VA,,,Virginia,51,Floyd County,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51063,,,51063,"Floyd County, Virginia",15532,15532,11686,15414,7649,350,425,393,279,144,107,89,218,362,462,362,473,506,581,453,422,327,310,341,381,267,203,194,7883,311,303,480,268,103,70,151,155,433,360,470,320,469,520,558,234,608,222,240,656,318,342,292,15532,15532,11686,15414,15076,14401,469,16,59,0,31,100,0,100,456,220,0,27,3,0,22,184,184,0,15532,15532,11686,15414,97,0,0,0,0,5,22,53,9,169,65,56,282,212,100,3949,493,520,1498,1445,1588,798,154,171,15532,15532,11686,15414,804,649,693,608,1124,895,10641,51063
G5100650,2018-2022,VA,,,Virginia,51,Fluvanna County,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51065,,,51065,"Fluvanna County, Virginia",27442,27442,20240,25778,12811,686,796,729,556,283,131,91,331,751,872,817,757,716,848,1187,223,469,306,637,556,549,232,288,14631,701,921,565,471,316,1,76,548,972,1072,883,1003,968,963,1223,400,513,426,621,735,533,431,289,27442,27442,20240,25778,26295,20879,3559,33,227,23,187,1387,233,1154,1147,326,0,0,154,0,342,325,102,223,27442,27442,20240,25778,201,0,25,0,0,0,14,0,23,37,37,117,266,385,254,4286,779,1804,3055,1713,4547,2016,183,498,27442,27442,20240,25778,564,997,1141,481,679,150,21766,51065
G5100670,2018-2022,VA,,,Virginia,51,Franklin County,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51067,,,51067,"Franklin County, Virginia",54838,54838,39873,53168,27147,1086,1153,1993,1049,686,420,399,793,1290,1280,1284,1392,1538,2027,2505,861,1100,814,1241,1885,1143,617,591,27691,1289,1448,1278,963,699,445,391,873,1308,1398,1436,1131,1706,1941,2227,1178,1122,792,1548,1705,931,1173,709,54838,54838,39873,53168,53200,47536,4217,22,353,5,14,1053,131,922,1638,427,23,120,0,0,370,698,469,229,54838,54838,39873,53168,372,51,0,0,9,19,40,70,161,297,455,546,855,499,739,11163,2603,3660,4906,3920,6109,2602,448,349,54838,54838,39873,53168,2890,4156,2248,2267,3071,2090,36446,51067
G5100690,2018-2022,VA,,,Virginia,51,Frederick County,069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51069,,,51069,"Frederick County, Virginia",92007,92007,64068,90311,46279,2831,3047,3077,2159,1110,363,569,1658,2698,2913,2929,2935,2936,3172,3170,1316,1790,1056,1397,2213,1475,792,673,45728,2423,2377,3340,1657,815,346,581,1586,2677,2826,3029,2876,2668,3122,2805,1463,2107,1203,1751,2022,1899,958,1197,92007,92007,64068,90311,82690,74293,3850,64,1737,90,207,2449,235,2214,9317,4805,52,280,57,0,2562,1561,1196,365,92007,92007,64068,90311,600,0,52,0,19,153,148,231,583,303,637,942,1639,1075,867,16855,3145,5162,8198,4821,10918,5958,1143,619,92007,92007,64068,90311,3489,2625,1774,3099,4765,1981,72578,51069
G5100710,2018-2022,VA,,,Virginia,51,Giles County,071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51071,,,51071,"Giles County, Virginia",16711,16711,12132,16527,8254,383,657,347,302,207,99,61,286,452,464,476,468,542,649,709,230,267,231,247,521,360,144,152,8457,430,567,377,299,164,166,97,137,469,482,546,356,507,676,630,256,330,224,326,536,365,230,287,16711,16711,12132,16527,16392,15751,377,3,59,39,0,163,36,127,319,131,0,0,0,0,0,188,176,12,16711,16711,12132,16527,189,0,0,1,0,5,0,18,37,44,107,217,203,170,173,4571,377,882,1779,1023,1376,689,105,166,16711,16711,12132,16527,808,788,648,1055,923,444,11861,51071
G5100730,2018-2022,VA,,,Virginia,51,Gloucester County,073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51073,,,51073,"Gloucester County, Virginia",38875,38875,28272,38172,19309,915,1066,1376,707,409,455,204,469,1010,1109,1330,1102,1232,1199,1700,545,946,587,603,1075,581,422,267,19566,939,993,1092,664,220,206,364,524,987,1157,1104,1310,1119,1474,1660,630,1056,480,756,1115,624,551,541,38875,38875,28272,38172,37281,32344,3172,9,238,0,94,1424,366,1058,1594,523,0,74,20,0,201,776,744,32,38875,38875,28272,38172,238,0,16,16,21,23,22,10,55,62,271,308,489,954,358,7202,1389,2163,4863,2603,4511,2184,254,260,38875,38875,28272,38172,1604,1242,563,871,2350,1945,29597,51073
G5100750,2018-2022,VA,,,Virginia,51,Goochland County,075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51075,,,51075,"Goochland County, Virginia",24906,24906,18847,23876,12404,542,523,838,415,438,18,98,364,543,603,717,699,744,992,1166,270,695,484,535,785,518,301,116,12502,363,472,531,542,421,8,47,439,659,701,546,677,926,909,1168,479,614,412,523,856,509,276,424,24906,24906,18847,23876,24097,19290,3596,9,429,0,48,725,176,549,809,339,6,0,0,0,383,81,5,76,24906,24906,18847,23876,13,0,5,0,65,0,33,24,17,122,100,48,376,173,116,3408,967,1225,2324,1456,4704,2452,727,492,24906,24906,18847,23876,659,350,568,420,614,352,20913,51075
G5100770,2018-2022,VA,,,Virginia,51,Grayson County,077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51077,,,51077,"Grayson County, Virginia",15356,15356,11769,14450,8064,304,392,368,219,103,111,151,202,674,412,312,536,593,606,596,288,334,397,324,484,312,249,97,7292,277,331,392,216,110,120,47,244,307,308,349,342,481,478,497,411,337,260,325,486,577,204,193,15356,15356,11769,14450,14755,13567,789,0,184,0,30,185,19,166,601,281,63,0,0,0,8,249,176,73,15356,15356,11769,14450,148,0,0,0,27,15,0,11,109,116,252,336,414,429,139,3716,937,751,1242,1467,1216,352,51,41,15356,15356,11769,14450,947,1753,1039,1041,920,494,8256,51077
G5100790,2018-2022,VA,,,Virginia,51,Greene County,079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51079,,,51079,"Greene County, Virginia",20631,20631,14314,20446,9860,580,615,576,414,384,57,63,330,608,563,640,601,710,661,687,392,303,229,304,550,258,205,130,10771,568,525,967,575,214,117,40,292,629,598,773,363,840,705,799,207,422,356,369,533,565,149,165,20631,20631,14314,20446,19267,16534,1326,18,481,15,194,699,20,679,1364,130,0,0,0,0,901,333,162,171,20631,20631,14314,20446,142,2,0,0,16,0,13,0,0,55,208,204,251,332,306,3891,739,1064,1857,1242,2476,1159,61,296,20631,20631,14314,20446,684,1589,477,570,474,586,16066,51079
G5100810,2018-2022,VA,,,Virginia,51,Greensville County,081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51081,,,51081,"Greensville County, Virginia",11373,11373,8609,8427,6951,234,139,348,63,144,31,174,238,729,819,501,526,516,828,503,118,231,159,165,246,127,39,73,4422,282,302,254,228,85,0,10,232,162,299,207,139,253,374,164,183,274,169,117,280,213,92,103,11373,11373,8609,8427,10795,4071,5995,4,37,0,4,684,6,678,578,65,95,13,0,0,315,90,90,0,11373,11373,8609,8427,224,0,0,0,0,0,36,74,121,35,194,158,295,382,229,1880,1499,847,869,610,751,300,41,64,11373,11373,8609,8427,702,388,525,645,964,212,4991,51081
G5100830,2018-2022,VA,,,Virginia,51,Halifax County,083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51083,,,51083,"Halifax County, Virginia",34013,34013,24647,33112,16334,878,1026,905,698,564,186,205,390,992,903,738,793,889,1037,1355,437,649,509,769,1003,580,516,312,17679,826,1134,737,634,306,117,109,651,1036,845,739,974,965,1170,1518,462,671,455,650,1421,868,670,721,34013,34013,24647,33112,33208,20329,11814,32,72,0,17,944,47,897,805,266,5,0,0,0,163,371,364,7,34013,34013,24647,33112,420,0,0,0,20,0,50,81,203,242,781,506,884,814,397,7280,1610,1607,3194,2347,2798,1060,202,151,34013,34013,24647,33112,2066,2801,1763,2407,2779,1265,20031,51083
G5100850,2018-2022,VA,,,Virginia,51,Hanover County,085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51085,,,51085,"Hanover County, Virginia",110513,110513,76949,108429,54636,2846,3228,3981,2433,1680,851,833,1782,2603,3011,3422,3376,3539,3858,3976,1742,2222,1511,2018,2297,1545,877,1005,55877,2549,3036,3556,2292,1474,783,529,1711,2588,3173,3927,3028,3611,3987,4469,1616,2392,1415,1872,3055,2120,1456,1238,110513,110513,76949,108429,106846,90780,9368,151,1859,92,537,4059,638,3421,3667,1203,223,36,18,6,920,1261,1212,49,110513,110513,76949,108429,799,0,0,47,6,13,3,72,214,142,236,518,556,987,715,16279,2455,5237,10052,6421,20372,8834,1794,1197,110513,110513,76949,108429,2616,3004,2233,2854,3273,1275,93174,51085
G5100870,2018-2022,VA,,,Virginia,51,Henrico County,087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51087,,,51087,"Henrico County, Virginia",333120,333120,232800,329884,159152,9999,10225,11000,6803,3835,1313,1897,6259,11038,11690,11504,10783,10178,10514,10918,3869,5041,3948,4230,5832,3372,2349,2555,173968,9544,10187,10055,6397,3420,1857,1896,5633,11689,12494,11130,12484,11153,11391,11541,4324,7082,3770,5840,8067,4640,4426,4948,333120,333120,232800,329884,312678,169516,97757,308,31395,119,1360,12223,1984,10239,20442,5999,955,354,0,0,7907,5227,4060,1167,333120,333120,232800,329884,2938,20,63,24,0,239,244,208,1093,560,907,1624,2484,2384,3781,42992,7546,13216,30978,15842,62157,31376,7174,4950,333120,333120,232800,329884,11801,15969,8383,11005,16865,6592,259269,51087
G5100890,2018-2022,VA,,,Virginia,51,Henry County,089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51089,,,51089,"Henry County, Virginia",50760,50760,37373,49816,24420,1104,1236,1648,891,514,251,244,784,1255,1291,1085,1551,1451,1784,1952,862,1080,827,750,1512,1077,662,609,26340,1154,1147,1660,984,590,232,276,672,1169,1383,1341,1313,1567,1857,1852,739,1452,843,896,1786,1369,1077,981,50760,50760,37373,49816,47690,34892,11595,23,249,0,134,797,63,734,3070,1051,41,0,0,0,1230,748,724,24,50760,50760,37373,49816,826,0,91,0,9,38,21,54,339,520,936,905,1225,1540,493,10233,3238,2521,4853,4151,3474,1698,159,49,50760,50760,37373,49816,2800,5235,3224,3653,4451,2306,28147,51089
G5100910,2018-2022,VA,,,Virginia,51,Highland County,091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51091,,,51091,"Highland County, Virginia",2247,2247,1716,2243,1034,33,24,27,18,2,9,52,6,58,36,30,54,16,78,88,34,58,54,99,101,79,48,30,1213,28,88,38,32,2,62,0,110,19,44,34,11,23,83,88,42,91,31,51,126,114,31,65,2247,2247,1716,2243,2247,2120,0,0,69,0,0,58,13,45,0,0,0,0,0,0,0,0,0,0,2247,2247,1716,2243,16,0,0,0,0,0,0,4,9,5,38,15,42,25,17,566,78,150,155,70,346,132,25,23,2247,2247,1716,2243,134,96,67,99,171,108,1568,51091
G5100930,2018-2022,VA,,,Virginia,51,Isle of Wight County,093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51093,,,51093,"Isle of Wight County, Virginia",38898,38898,27889,38628,19422,1020,1282,1175,773,403,274,213,575,979,1072,973,1460,1135,1357,1835,589,868,686,611,860,776,326,180,19476,892,1134,1140,783,388,232,132,593,949,1144,1051,1313,1209,1330,1614,561,954,372,817,1177,677,483,531,38898,38898,27889,38628,37329,27025,8459,69,393,12,107,1264,88,1176,1569,363,136,13,9,0,510,538,298,240,38898,38898,27889,38628,151,14,0,0,0,17,38,89,74,28,154,402,682,364,445,6390,1638,2170,4177,2750,4938,2536,441,391,38898,38898,27889,38628,1345,2426,1339,993,1146,462,30917,51093
G5100950,2018-2022,VA,,,Virginia,51,James City County,095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51095,,,51095,"James City County, Virginia",78818,78818,57505,77952,38132,1981,2150,2297,1472,853,698,226,1168,1748,2038,2232,2072,2291,2492,2459,982,1788,936,1554,2665,1620,1346,1064,40686,1863,1964,2317,1412,879,529,251,1253,1569,1901,2466,2114,2296,2567,2178,1686,2018,951,1958,3344,2457,1531,1182,78818,78818,57505,77952,73796,57947,9867,14,2009,22,505,3432,536,2896,5022,1925,89,18,3,0,867,2120,1852,268,78818,78818,57505,77952,384,0,0,0,0,0,29,8,109,12,300,286,401,502,416,9537,1553,3383,6759,5064,15086,9721,1921,2034,78818,78818,57505,77952,2298,3377,1385,1426,2154,1474,65838,51095
G5100970,2018-2022,VA,,,Virginia,51,King and Queen County,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51097,,,51097,"King and Queen County, Virginia",6681,6681,5203,6671,3485,198,189,232,115,0,0,0,106,277,185,226,133,289,214,332,100,194,160,154,148,141,31,61,3196,102,176,112,102,85,15,5,41,233,117,165,220,191,226,407,77,126,116,203,188,139,138,12,6681,6681,5203,6671,6438,4408,1611,27,0,0,34,358,13,345,243,64,0,0,0,0,173,6,0,6,6681,6681,5203,6671,86,0,0,0,0,0,0,8,9,26,22,72,124,224,135,1579,142,277,853,472,873,224,16,61,6681,6681,5203,6671,761,569,261,114,144,70,4752,51097
G5100990,2018-2022,VA,,,Virginia,51,King George County,099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51099,,,51099,"King George County, Virginia",26985,26985,17979,26644,13719,803,1148,886,527,315,55,295,675,716,935,914,908,885,1019,1029,401,396,264,487,423,257,226,155,13266,763,638,1323,571,268,119,162,458,772,852,853,1037,873,904,1051,356,396,182,420,480,322,231,235,26985,26985,17979,26644,25271,18901,4251,25,366,0,506,1222,193,1029,1714,677,13,0,0,0,465,559,522,37,26985,26985,17979,26644,315,9,0,21,0,43,41,12,23,39,146,122,262,460,247,4381,587,1474,2206,1324,3694,2122,120,331,26985,26985,17979,26644,972,874,860,659,1009,538,21732,51099
G5101010,2018-2022,VA,,,Virginia,51,King William County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51101,,,51101,"King William County, Virginia",17845,17845,12367,17697,8842,587,588,613,359,313,146,76,196,493,615,539,600,519,639,485,404,347,273,308,331,165,78,168,9003,487,450,644,341,316,41,60,261,606,604,358,804,534,610,711,186,390,312,232,413,264,170,209,17845,17845,12367,17697,17324,13785,2655,167,135,11,2,569,0,569,521,295,10,1,0,0,29,186,162,24,17845,17845,12367,17697,17,0,0,0,0,0,14,6,18,0,77,110,149,304,110,3599,744,997,2179,975,2299,616,153,0,17845,17845,12367,17697,665,755,452,445,818,389,14173,51101
G5101030,2018-2022,VA,,,Virginia,51,Lancaster County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51103,,,51103,"Lancaster County, Virginia",10866,10866,8739,10632,5325,243,263,247,141,118,23,34,96,145,153,164,322,187,337,377,148,277,198,353,576,437,193,293,5541,106,223,168,204,115,34,34,78,216,181,153,145,378,292,438,241,308,275,388,483,428,263,390,10866,10866,8739,10632,10615,7225,2954,0,54,0,82,300,38,262,251,79,42,6,0,0,104,20,20,0,10866,10866,8739,10632,164,0,0,0,0,0,24,0,38,19,90,123,300,171,263,2244,278,515,963,724,1598,637,350,238,10866,10866,8739,10632,319,1170,600,404,459,302,7378,51103
G5101050,2018-2022,VA,,,Virginia,51,Lee County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51105,,,51105,"Lee County, Virginia",22287,22287,16643,20708,11812,568,551,707,391,229,69,118,381,794,915,724,825,838,776,845,396,367,306,477,651,479,262,143,10475,459,452,640,394,92,96,133,364,518,535,371,739,676,756,792,408,414,338,348,764,440,533,213,22287,22287,16643,20708,21811,20520,895,26,57,0,0,313,13,300,476,256,30,0,0,0,25,165,155,10,22287,22287,16643,20708,197,23,0,0,0,70,33,120,194,332,428,326,625,569,121,5056,1046,1075,3291,1220,1408,378,73,58,22287,22287,16643,20708,2229,3151,1001,1350,1496,720,10761,51105
G5101070,2018-2022,VA,,,Virginia,51,Loudoun County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51107,,,51107,"Loudoun County, Virginia",420773,420773,272771,418293,210848,13922,16034,18354,10450,5344,2039,2713,6714,10301,12792,15916,19587,18157,16189,13559,4374,5494,2986,3793,4890,2954,2196,2090,209925,13482,15584,17039,10083,5056,1694,2138,7356,10241,13824,17168,18910,16846,15195,12275,4380,5591,2769,4303,5909,4337,2821,2924,420773,420773,272771,418293,362575,223608,31103,675,86463,287,2447,17992,2121,15871,58198,18245,1087,506,213,20,16377,21750,18732,3018,420773,420773,272771,418293,4017,43,61,0,70,54,45,345,980,1080,877,1682,1890,1107,3136,26969,3919,10789,25972,16514,97356,60957,9175,5733,420773,420773,272771,418293,8613,7093,4878,6092,9010,3244,379363,51107
G5101090,2018-2022,VA,,,Virginia,51,Louisa County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51109,,,51109,"Louisa County, Virginia",38106,38106,27905,37938,19078,1083,1034,1091,745,314,288,345,470,1052,1159,867,1375,1100,1293,1386,587,1181,607,947,853,708,462,131,19028,924,1036,1071,631,284,196,123,566,1075,1036,967,1349,1125,1327,1747,810,760,844,585,1068,632,436,436,38106,38106,27905,37938,36740,29161,5130,72,185,11,143,2038,459,1579,1366,644,0,0,0,0,367,355,307,48,38106,38106,27905,37938,301,0,9,0,0,0,43,90,174,267,240,446,487,619,492,7946,1476,2076,3900,2130,4102,2489,390,228,38106,38106,27905,37938,1180,2940,1677,593,2621,692,28235,51109
G5101110,2018-2022,VA,,,Virginia,51,Lunenburg County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51111,,,51111,"Lunenburg County, Virginia",11988,11988,8799,11083,6285,298,333,401,178,166,81,53,144,320,402,599,386,366,433,423,158,316,145,256,386,167,188,86,5703,272,205,447,211,46,53,45,256,231,382,326,296,304,323,485,143,228,169,233,416,243,156,233,11988,11988,8799,11083,11258,7003,3922,2,40,0,0,291,32,259,730,19,7,0,0,0,480,224,224,0,11988,11988,8799,11083,124,0,0,0,16,64,87,71,58,101,171,270,363,285,260,2309,898,713,1405,627,654,276,30,17,11988,11988,8799,11083,351,1094,979,415,976,24,7244,51111
G5101130,2018-2022,VA,,,Virginia,51,Madison County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51113,,,51113,"Madison County, Virginia",13828,13828,10115,13612,6764,318,363,420,251,154,137,55,89,359,469,380,342,380,407,561,235,297,149,311,529,275,177,106,7064,416,333,456,211,187,39,116,168,284,399,457,262,455,425,560,413,213,212,217,565,300,175,201,13828,13828,10115,13612,13353,11632,1087,4,90,0,20,520,0,520,475,217,0,0,8,0,53,197,196,1,13828,13828,10115,13612,59,0,0,0,0,0,30,0,44,63,170,345,221,208,174,3168,357,675,1406,717,1288,855,211,124,13828,13828,10115,13612,486,597,759,868,875,630,9397,51113
G5101150,2018-2022,VA,,,Virginia,51,Mathews County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51115,,,51115,"Mathews County, Virginia",8537,8537,6472,8454,4124,131,205,219,207,133,65,6,217,83,119,124,276,291,256,382,86,202,160,115,343,294,114,96,4413,136,111,90,192,78,0,154,121,91,137,77,251,335,292,303,152,392,231,224,318,289,294,145,8537,8537,6472,8454,8276,7208,767,0,0,31,21,249,46,203,261,204,0,0,0,0,9,48,25,23,8537,8537,6472,8454,22,0,0,0,0,3,0,0,7,0,0,32,155,73,80,1801,231,291,1229,619,1402,419,84,24,8537,8537,6472,8454,354,224,244,211,148,249,7024,51115
G5101170,2018-2022,VA,,,Virginia,51,Mecklenburg County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51117,,,51117,"Mecklenburg County, Virginia",30367,30367,22650,29350,15032,773,735,838,629,347,87,105,564,1021,775,935,597,790,913,946,640,786,494,687,984,688,447,251,15335,728,648,853,390,177,147,118,578,757,745,810,681,854,948,1292,441,775,581,541,1279,683,598,711,30367,30367,22650,29350,29426,18342,10092,124,309,4,11,544,12,532,941,599,31,10,2,0,148,151,143,8,30367,30367,22650,29350,399,0,0,0,23,25,51,24,144,254,290,371,515,583,383,6486,1277,1327,3300,2335,2959,1654,183,67,30367,30367,22650,29350,2801,2707,1246,1484,2418,1115,17579,51117
G5101190,2018-2022,VA,,,Virginia,51,Middlesex County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51119,,,51119,"Middlesex County, Virginia",10738,10738,8382,10259,5360,206,304,234,176,100,74,34,122,272,252,256,205,277,334,420,161,235,134,358,394,405,229,178,5378,171,251,271,87,63,0,8,255,229,236,244,201,205,331,344,201,375,204,335,522,392,183,270,10738,10738,8382,10259,10402,8343,1546,0,84,19,165,245,38,207,336,136,42,0,0,0,42,116,116,0,10738,10738,8382,10259,28,4,0,0,0,18,0,0,100,13,109,144,168,145,160,2050,347,504,1405,707,1679,588,93,120,10738,10738,8382,10259,466,524,320,371,553,297,7728,51119
G5101210,2018-2022,VA,,,Virginia,51,Montgomery County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51121,,,51121,"Montgomery County, Virginia",99373,99373,55915,88977,51542,1916,1872,2487,1294,5734,3125,3382,3883,3532,3153,2805,2593,2462,2635,2575,1111,1141,1048,1008,1667,1042,650,427,47831,1846,2316,2024,1239,4520,2514,2440,2866,2993,2936,2652,2217,2540,2430,2181,1115,1708,757,971,2410,1492,911,753,99373,99373,55915,88977,95854,82133,3992,238,6314,134,595,2448,274,2174,3519,1231,62,48,143,8,923,1104,946,158,99373,99373,55915,88977,264,22,0,17,0,0,0,184,57,144,179,481,726,291,439,10904,2283,3294,6683,3937,12154,8640,1474,3742,99373,99373,55915,88977,17325,4819,2349,2177,5242,1686,55379,51121
G5101250,2018-2022,VA,,,Virginia,51,Nelson County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51125,,,51125,"Nelson County, Virginia",14773,14773,11116,14726,7463,445,319,507,221,165,201,70,233,228,337,348,327,468,447,616,218,420,349,430,479,343,196,96,7310,254,450,189,170,103,91,26,213,321,438,376,417,339,459,610,178,366,257,679,488,329,326,231,14773,14773,11116,14726,14096,11911,1830,10,29,0,48,268,119,149,677,249,0,0,0,0,319,109,14,95,14773,14773,11116,14726,42,0,0,0,0,0,52,56,0,120,117,223,287,272,321,3188,717,602,1053,683,2024,926,170,263,14773,14773,11116,14726,817,1133,447,280,1203,458,10388,51125
G5101270,2018-2022,VA,,,Virginia,51,New Kent County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51127,,,51127,"New Kent County, Virginia",23296,23296,17446,22685,12186,500,633,906,397,262,251,79,376,589,936,940,815,831,848,952,268,560,384,489,577,348,125,120,11110,465,678,568,300,171,26,45,193,779,793,677,718,946,696,881,541,476,391,513,390,512,177,174,23296,23296,17446,22685,22365,17957,3054,159,264,0,0,931,96,835,931,507,4,0,0,0,280,140,95,45,23296,23296,17446,22685,42,0,0,0,0,4,0,30,51,3,55,66,276,140,355,4280,838,1506,2350,1587,4110,1465,58,230,23296,23296,17446,22685,197,692,634,235,867,569,19491,51127
G5101310,2018-2022,VA,,,Virginia,51,Northampton County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US51131,,,51131,"Northampton County, Virginia",12132,12132,9104,11845,5722,276,256,478,214,48,15,82,131,354,295,250,299,259,416,446,133,307,184,274,434,281,132,158,6410,271,373,262,192,175,90,16,149,243,289,326,268,283,362,585,291,349,197,313,518,305,245,308,12132,12132,9104,11845,10986,6718,3785,4,134,0,0,345,37,308,1146,360,58,0,1,0,301,426,418,8,12132,12132,9104,11845,73,0,0,0,33,38,27,1,174,85,107,70,196,202,188,2455,366,431,1320,667,1593,759,184,135,12132,12132,9104,11845,744,1239,500,595,716,234,7817,51131
